"IHAGEE  cameras",,,,,,
"production start","production end","model","type no","format","lowest serial numbers","highest serial numbers"
1912,1913,"Photorex",,"9x12",1027,
1914,,"Photoklapp Triplex",,,,
1914,,"Weltrecord A",,"9x12",,
1914,,"Weltrecord B",,,,
1914,,"Patent Quido=Photorex",,"9x12",,
1914,,"Taschen-Photoklapp A",,"6x9",,
1914,,"Taschen-Photoklapp B",,"6x9",,
1921,,"Photoklapp Universal",,"10x15/13x18",916,
1921,1933,"Plan Paff (Reflex)",,"4.5x6",17044,59317
1921,1933,"Roll Paff (Reflex)",,"6x6",19890,259858
1924,1933,"Plan Paff (Reflex)",,"6.5x9",67305,241654
1927,,"Roll Paff",50,"4x6,5",,
1927,,"Roll Paff",60,"6x9",134289,
,,"Roll Paff",70,"6.5x11",,
1924,1933,"Photoknips 100",,,14738,244328
1925,1936,"Photoknips 200",,,93224,203722
1927,1936,"Derby",310,"6.5x9",209624,244770
1921,1936,"Derby",320,"9x12",15867,131614
1921,1921,"Rekord",,"9x12/12x15",,
1925,1936,"Ama",420,,151070,190515
1916,1936,"Microbie",500,,5913,184144
1922,1939,"Viktor",510,"6.5x9",178735,300366
1914,1939,"Viktor",520,"9x12",3683,180932
1914,1939,"Viktor",530,"10x15",,
1916,1936,"Venus",610,,6223,322019
1924,1939,"Patent Duplex",710,"6.5x9",215039,589648
1914,1939,"Patent Duplex",720,"9x12",932,542289
1914,1939,"Patent Duplex",730,"10x15",9575,169525
1914,1939,"Patent Duplex",740,"13x18",,
1925,1932,"Luxus Duplex",810,,,
1925,1936,"Luxus Duplex",820,,92531,156062
1925,1936,"Luxus Duplex",830,,99311,
1925,1936,"Luxus Duplex",840,,8453,
1922,1936,"Tropen Neugold",910,"6.5x9",,
1921,1936,"(Tropen) Neugold",920,"9x12",8908,83390
1925,1934,"Tropen Neugold",930,,,
,,"Tropen Neusilber",,,74174,
1927,1939,"Zweiverschluss Duplex",1010,,123870,293793
1927,1939,"Zweiverschluss Duplex",1020,,141481,219882
1928,1939,"Zweiverschluss Duplex",1030,,211781,268161
1924,1939,"Patent Klapp Reflex",1110,,89465,159511
1925,1939,"Patent Klapp Reflex",1120,,96139,159621
1926,1939,"Patent Klapp Reflex",1130,,154231,193023
1924,1927,"Ultrix Automat",1250,,,
1922,1933,"Ultrix (Simplex)",1360,,66090,305354
1925,1936,"Ultrix Simplex",1370,,72282,195461
1925,1936,"Ultrix",1460,,50184,316455
1925,1936,"Ultrix hinged back",,,,
1924,1936,"Ultrix",1470,"6.5x11",100206,345979
1928,1936,"Ultrix",1475,"8x10.5",139459,
1928,1936,"Ultrix",1485,"8x14",223247,
1924,1936,"Ultrix",1490,"7.25x12.5",89885,
1924,1936,"Ultrix-Duplex",1560,"6x9/6.5x9",73446,371650
1925,1939,"Ultrix Stereo",1690,"7.25x12.5",92021,136255
1925,1939,"Stereo Automat",1715,"6x13",91977,206396
1930,1939,"Sport Kamera",1810,"6.5x9",303586,353722
1928,1939,"Sport Kamera",1820,"9x12",279038,373511
1930,1939,"Sport Kamera",1830,"10x15",,
1928,1939,"Patent Klapp Reflex",1910,"6.5x9",238920,245452
1928,1939,"Patent Klapp Reflex",1913,"9x9",,
1925,1939,"Patent Klapp Reflex",1920,"9x12",,
1921,1939,"Corona",2030,"10x15",,91262
1921,1930,"Corona",2035,"12x16.5",,
1921,1939,"Corona",2040,"13x18",75938,245754
1925,1939,"Corona",2045,"18x24",,
1930,1939,"Corona",2046,"24x30",,
1928,1936,"Serien Reflex",2110,"6.5x9",130477,202970
1928,1936,"Serien Reflex",2113,"9x9",,
1928,1936,"Serien Reflex",2120,"9x12",245640,
1929,1936,"Auto Photoklapp",2220,"9x12",241485,258163
1929,1931,"Photoklapp Duplex",2320,"9x12",178017,249627
1928,1936,"Zweiverschluss Stereo",2430,"10x15",,
1929,1930,"Nachtcamera",2500,"4.5x6",,
1929,1930,"Nachtkamera",2510,"6.5x9",,
1929,1934,"Nachtreflex",2500,"4.5x6",277788,292958
1929,1936,"Nachtreflex",2510,"6.5x9",,
1928,1939,"Patent Klapp Reflex",2610,"6.5x9",234001,
1932,1939,"Westentaschen Auto Ultrix",2850,"4x6.5",380956,473957
1930,1939,"Auto Ultrix",2860,"6x9",292017,470527
1930,1939,"Auto Ultrix (release on body)",2860,"6x9",593777,594340
1933,1939,"Auto Ultrix Zweiformat",2860,"6x9/6.5x9",406720,591630
1928,1936,"Ultrix",2960,"6x9",345734,
1932,1939,"Auto Ultrix Plattenrückwand",3860,"6x9",311733,502362
1932,1934,"Westentaschen Auto Ultrix Simplex",4850,"4x6.5",379364,
1934,1939,"Zweiformat Auto Ultrix Junior",4860,"6x9",409765,
1931,1939,"Parvola",1350,"4x6.5",343803,569856
1932,1939,"Parvola",1450,"3x4",343199,560990
1933,1939,"Parvola Zweiformat",1550,"3x4/4x6.5",560541,560584
