1919,30000
1920,40000
1922,50000
1925,100000
1928,200000
1929,300000
1931,400000
1932,500000
1933,600000
1934,700000
1935,800000
1936,900000
1936,1000000
1937,1200000
1938,1400000
1939,1600000
1942,1800000
1948,2000000
1949,2200000
1950,2400000
1951,2600000
1951,2800000
1952,3000000
1954,4000000
1957,5000000
1959,6000000
1961,7000000
1963,8000000
1965,9000000
1967,10000000
1968,11000000
1970,11500000
1972,12000000
1974,12500000
1976,13000000
1977,13200000
1978,13400000
1979,13600000
1981,13800000
1983,14000000
1985,14100000
1986,14200000
1988,14300000
1991,14400000
1992,14460000
1993,14480000
1993,14500000
1994,14510000
1994,14520000
1995,14540000
1995,14560000
1996,14590000
1996,14600000
1996,14620000
1997,14623340
1998,14651520
1999,14690300
2000,14726600
2001,14756400
2002,14788450
2003,14820970
2004,14853700
2005,14890800
2008,15000000
